run,step,training_hours,cfg_scale,fid
imagenet64_riesz_power0p5_top20_no_rms_lr4e4_warmup2k_ps_1,10000,3.539529486934779,2.5,34.93511139376011
imagenet64_riesz_power0p5_top20_no_rms_lr4e4_warmup2k_ps_1,20000,7.079058973869558,2.5,31.42529989915954
imagenet64_riesz_power0p5_top20_no_rms_lr4e4_warmup2k_ps_1,30000,10.618588460804338,2.5,29.92243421005105
imagenet64_riesz_power0p5_top20_no_rms_lr4e4_warmup2k_ps_1,40000,14.158117947739116,2.5,28.94404775896976
imagenet64_riesz_power0p5_top20_no_rms_lr4e4_warmup2k_ps_1,50000,17.697647434673897,2.5,28.587286097659216
imagenet64_riesz_power0p5_top20_no_rms_lr4e4_warmup2k_ps_1,60000,21.237176921608675,2.5,28.024035394271323
imagenet64_riesz_power0p5_top20_no_rms_lr4e4_warmup2k_ps_1,70000,24.776706408543454,2.5,27.715390749343328
imagenet64_riesz_power0p5_top20_no_rms_lr4e4_warmup2k_ps_1,80000,28.316235895478233,2.5,27.425237824550322
imagenet64_riesz_power0p5_top20_no_rms_lr4e4_warmup2k_ps_1,90000,31.855765382413015,2.5,27.525912852580973
imagenet64_riesz_power0p5_top20_no_rms_lr4e4_warmup2k_ps_1,100000,35.395294869347794,2.5,27.24478720543766
imagenet64_riesz_power0p5_top20_no_rms_lr4e4_warmup2k_ps_1,110000,38.934824356282576,2.5,26.901265508166546
imagenet64_riesz_power0p5_top20_no_rms_lr4e4_warmup2k_ps_1,120000,42.47435384321735,2.5,26.94221228112218
imagenet64_riesz_power0p5_top20_no_rms_lr4e4_warmup2k_ps_1,130000,46.01388333015213,2.5,26.666313956002398
imagenet64_riesz_power1p0_top20_no_rms_lr4e4_warmup2k_ps_1,10000,4.144376844897334,2.0,34.480525743487874
imagenet64_riesz_power1p0_top20_no_rms_lr4e4_warmup2k_ps_1,20000,8.288753689794667,2.0,30.901969148949775
imagenet64_riesz_power1p0_top20_no_rms_lr4e4_warmup2k_ps_1,30000,12.433130534692001,2.0,29.374173475583063
imagenet64_riesz_power1p0_top20_no_rms_lr4e4_warmup2k_ps_1,40000,16.577507379589335,2.0,28.679321747111544
imagenet64_riesz_power1p0_top20_no_rms_lr4e4_warmup2k_ps_1,50000,20.72188422448667,2.0,28.04352380962291
imagenet64_riesz_power1p0_top20_no_rms_lr4e4_warmup2k_ps_1,60000,24.866261069384002,2.0,27.69463605926046
imagenet64_riesz_power1p0_top20_no_rms_lr4e4_warmup2k_ps_1,70000,29.010637914281336,2.0,27.093388062376732
imagenet64_riesz_power1p0_top20_no_rms_lr4e4_warmup2k_ps_1,80000,33.15501475917867,2.0,26.89426748684366
imagenet64_riesz_power1p0_top20_no_rms_lr4e4_warmup2k_ps_1,90000,37.299391604076,2.0,26.602324068606947
imagenet64_riesz_power1p0_top20_no_rms_lr4e4_warmup2k_ps_1,100000,41.44376844897334,2.0,26.320181264409882
imagenet64_riesz_power1p0_top20_no_rms_lr4e4_warmup2k_ps_1,110000,45.58814529387067,2.0,26.37350654101624
imagenet64_riesz_power1p0_top20_no_rms_lr4e4_warmup2k_ps_1,10000,4.144376844897334,2.5,32.30775843246846
imagenet64_riesz_power1p0_top20_no_rms_lr4e4_warmup2k_ps_1,20000,8.288753689794667,2.5,28.47695200937636
imagenet64_riesz_power1p0_top20_no_rms_lr4e4_warmup2k_ps_1,30000,12.433130534692001,2.5,27.06840867690977
imagenet64_riesz_power1p0_top20_no_rms_lr4e4_warmup2k_ps_1,40000,16.577507379589335,2.5,26.0323936247226
imagenet64_riesz_power1p0_top20_no_rms_lr4e4_warmup2k_ps_1,50000,20.72188422448667,2.5,25.490472929599264
imagenet64_riesz_power1p0_top20_no_rms_lr4e4_warmup2k_ps_1,60000,24.866261069384002,2.5,25.15848940165347
imagenet64_riesz_power1p0_top20_no_rms_lr4e4_warmup2k_ps_1,70000,29.010637914281336,2.5,24.55176307583747
imagenet64_riesz_power1p0_top20_no_rms_lr4e4_warmup2k_ps_1,80000,33.15501475917867,2.5,24.34923310426018
imagenet64_riesz_power1p0_top20_no_rms_lr4e4_warmup2k_ps_1,90000,37.299391604076,2.5,24.014583944308185
imagenet64_riesz_power1p0_top20_no_rms_lr4e4_warmup2k_ps_1,100000,41.44376844897334,2.5,23.957918983729144
imagenet64_riesz_power1p0_top20_no_rms_lr4e4_warmup2k_ps_1,110000,45.58814529387067,2.5,23.88362030980005
imagenet64_sinkhorn_150k_mingyuan_const_ps_1,10000,5.638397998480035,2.0,37.44039192777336
imagenet64_sinkhorn_150k_mingyuan_const_ps_1,20000,11.27679599696007,2.0,30.849225561064145
imagenet64_sinkhorn_150k_mingyuan_const_ps_1,30000,16.915193995440106,2.0,28.131545000559925
imagenet64_sinkhorn_150k_mingyuan_const_ps_1,40000,22.55359199392014,2.0,26.824453091127623
imagenet64_sinkhorn_150k_mingyuan_const_ps_1,50000,28.191989992400174,2.0,26.174711068279805
imagenet64_sinkhorn_150k_mingyuan_const_ps_1,60000,33.83038799088021,2.0,25.403202974361875
imagenet64_sinkhorn_150k_mingyuan_const_ps_1,70000,39.46878598936024,2.0,24.77490012297227
imagenet64_sinkhorn_150k_mingyuan_const_ps_1,80000,45.10718398784028,2.0,24.260617275583684
imagenet64_sinkhorn_150k_mingyuan_const_ps_1,10000,5.638397998480035,2.5,35.13180837055552
imagenet64_sinkhorn_150k_mingyuan_const_ps_1,20000,11.27679599696007,2.5,28.959733757477977
imagenet64_sinkhorn_150k_mingyuan_const_ps_1,30000,16.915193995440106,2.5,26.220692598395033
imagenet64_sinkhorn_150k_mingyuan_const_ps_1,40000,22.55359199392014,2.5,24.93736707546799
imagenet64_sinkhorn_150k_mingyuan_const_ps_1,50000,28.191989992400174,2.5,24.24905212765816
imagenet64_sinkhorn_150k_mingyuan_const_ps_1,60000,33.83038799088021,2.5,23.45389905366619
imagenet64_sinkhorn_150k_mingyuan_const_ps_1,70000,39.46878598936024,2.5,22.79408326917968
imagenet64_sinkhorn_150k_mingyuan_const_ps_1,80000,45.10718398784028,2.5,22.388521245485663
